carrier,dep_hour,count,prob_delay
Hawaiian Airlines,11,539,0.0558659217877
Hawaiian Airlines,12,424,0.0924170616114
Hawaiian Airlines,13,588,0.11073253833
Hawaiian Airlines,14,508,0.132411067194
Hawaiian Airlines,15,539,0.132710280374
Hawaiian Airlines,16,395,0.102040816327
Hawaiian Airlines,17,407,0.0982800982801
Hawaiian Airlines,18,335,0.0507462686567
Hawaiian Airlines,19,230,0.0695652173913
Hawaiian Airlines,20,240,0.0541666666667
Hawaiian Airlines,21,175,0.0285714285714
Hawaiian Airlines,22,115,0.0347826086957
Hawaiian Airlines,23,20,0.05
Spirit Airlines,0,124,0.188524590164
Spirit Airlines,1,62,0.220338983051
Spirit Airlines,2,44,0.272727272727
Spirit Airlines,5,93,0.0652173913043
Spirit Airlines,6,868,0.101398601399
Spirit Airlines,7,1001,0.150505050505
Spirit Airlines,8,902,0.164245810056
Spirit Airlines,9,598,0.175675675676
Spirit Airlines,10,589,0.21724137931
Spirit Airlines,11,678,0.19552238806
Spirit Airlines,12,638,0.248
Spirit Airlines,13,505,0.220202020202
Spirit Airlines,14,475,0.298924731183
Spirit Airlines,15,620,0.34477124183
Spirit Airlines,16,723,0.347025495751
Spirit Airlines,17,641,0.373417721519
Spirit Airlines,18,721,0.392857142857
Spirit Airlines,19,806,0.367217280813
Spirit Airlines,20,713,0.424892703863
Spirit Airlines,21,558,0.396261682243
Spirit Airlines,22,332,0.368902439024
Spirit Airlines,23,301,0.302721088435
SkyWest Airlines,4,3,0.0
SkyWest Airlines,5,1189,0.0800681431005
SkyWest Airlines,6,3846,0.0921052631579
SkyWest Airlines,7,3471,0.143105446118
SkyWest Airlines,8,3351,0.173860911271
SkyWest Airlines,9,2933,0.163810829335
SkyWest Airlines,10,3802,0.200636098595
SkyWest Airlines,11,3396,0.166172106825
SkyWest Airlines,12,3239,0.187909005921
SkyWest Airlines,13,4131,0.173668783586
SkyWest Airlines,14,2909,0.225425494964
SkyWest Airlines,15,3898,0.186998186998
SkyWest Airlines,16,3098,0.208769633508
SkyWest Airlines,17,4139,0.213865752082
SkyWest Airlines,18,3177,0.202487244898
SkyWest Airlines,19,2600,0.226510721248
SkyWest Airlines,20,2856,0.184442097853
SkyWest Airlines,21,1042,0.137998056365
SkyWest Airlines,22,1255,0.13018714402
SkyWest Airlines,23,217,0.121495327103
United Airlines,0,317,0.195512820513
United Airlines,1,70,0.285714285714
United Airlines,2,36,0.257142857143
United Airlines,5,1087,0.0540540540541
United Airlines,6,3860,0.0764813364657
United Airlines,7,3654,0.137027846705
United Airlines,8,3346,0.140144665461
United Airlines,9,3328,0.172989377845
United Airlines,10,2842,0.211353088183
United Airlines,11,2853,0.200635817732
United Airlines,12,2955,0.220739219713
United Airlines,13,3087,0.252535165195
United Airlines,14,2442,0.264900662252
United Airlines,15,2866,0.264612114772
United Airlines,16,2529,0.271634615385
United Airlines,17,3448,0.299590403745
United Airlines,18,2286,0.303350970018
United Airlines,19,3150,0.306508496313
United Airlines,20,1874,0.317494600432
United Airlines,21,1641,0.247087676272
United Airlines,22,1318,0.192807957154
United Airlines,23,769,0.219160104987
Virgin America,6,54,0.222222222222
Virgin America,7,746,0.150740242261
Virgin America,8,376,0.179624664879
Virgin America,9,546,0.272058823529
Virgin America,10,356,0.22191011236
Virgin America,11,461,0.227074235808
Virgin America,12,369,0.282608695652
Virgin America,13,332,0.282674772036
Virgin America,14,447,0.356502242152
Virgin America,15,216,0.246511627907
Virgin America,16,326,0.286153846154
Virgin America,17,638,0.299843014129
Virgin America,18,482,0.3125
Virgin America,19,151,0.3
Virgin America,20,178,0.361581920904
Virgin America,21,157,0.261146496815
Virgin America,22,93,0.141304347826
Virgin America,23,143,0.230769230769
Southwest Airlines,5,2093,0.042206235012
Southwest Airlines,6,8419,0.0404645037711
Southwest Airlines,7,7180,0.0566037735849
Southwest Airlines,8,7793,0.0751937984496
Southwest Airlines,9,6562,0.1054170514
Southwest Airlines,10,7588,0.124252491694
Southwest Airlines,11,6536,0.148496530455
Southwest Airlines,12,6481,0.164460364429
Southwest Airlines,13,6796,0.194390859178
Southwest Airlines,14,6299,0.233889067009
Southwest Airlines,15,6661,0.268163203398
Southwest Airlines,16,6435,0.273672601229
Southwest Airlines,17,7057,0.307405281286
Southwest Airlines,18,6649,0.30966168851
Southwest Airlines,19,6983,0.315918958032
Southwest Airlines,20,5769,0.331058617673
Southwest Airlines,21,4126,0.304857212595
Southwest Airlines,22,1348,0.327327327327
